surface_form	normalized_form	segmentation	alt_segmentations	gloss	lemma	alt_lemmas	pos	alt_pos	confidence	first_verse	frequency	review_reasons	status
ciangin	ciangin	ciang-in		then-ERG	ciang		UNK		high	01001003	9994	pos_unknown	needs_review
mite	mite	mi-te	Mite|Mite'|mite'	person-PL	mi	Mite|mite	N	PROP|UNK	high	01004026	7200	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
ama	ama	ama	Ama|ama'	3SG.POSS	ama	Ama	UNK	PROP	high	01001027	4306	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
tapa	tapa	tapa'	Tapa'|ta-pa	son.POSS	tapa	ta	N		high	01004017	2188	multi_segmentation:3|multi_lemma:2	needs_review
Israel	israel	Israel	Israel'	ISRAEL	Israel	israel	PROP	UNK	high	01032028	2007	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kumpipa	kumpipa	kumpi-pa	Kumpipa'|kumpipa'	king-male	kumpi	kumpipa	N		high	01014001	1852	multi_segmentation:3|multi_lemma:2	needs_review
Jesuh	jesuh	Jesuh	Jesuh'	JESUH	Jesuh	jesuh	PROP	UNK	high	40001001	1834	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
khuapi	khuapi	khua-pi	khuapi'	village-big	khua	khuapi	N		high	01004017	1161	multi_segmentation:2|multi_lemma:2	needs_review
David	david	David'	David	DAVID.POSS	david	David	UNK	PROP	high	08004017	1052	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
lungsim	lungsim	lung-sim	lungsim'	stone-mind	lung	lungsim	V	N	high	01006005	988	multi_segmentation:2|multi_lemma:2|multi_pos:N|V	needs_review
leitung	leitung	lei-tung	leitung'	land-on	lei	leitung	V	N	high	01001001	882	multi_segmentation:2|multi_lemma:2|multi_pos:N|V	needs_review
Moses	moses	Moses	Moses'	MOSES	Moses	moses	PROP	UNK	high	02002010	866	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Judah	judah	Judah	Judah'	JUDAH	Judah	judah	PROP	UNK	high	01029035	820	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
ngei	ngei	ngei		EXP	ngei		UNK		high	01008021	742	pos_unknown	needs_review
numei	numei	nu-mei	Numei'|numei'	woman	nu	numei	N		high	01001027	739	multi_segmentation:3|multi_lemma:2	needs_review
mawhna	mawhna	mawh-na	Mawhna'|mawhna'	err-NMLZ	mawh	mawhna	V	N	high	01004007	724	multi_segmentation:3|multi_lemma:2|multi_pos:N|V	needs_review
minam	minam	mi-nam	minam'	person-kind	mi	minam	N		high	01010032	695	multi_segmentation:2|multi_lemma:2	needs_review
Egypt	egypt	Egypt	Egypt'	EGYPT	Egypt	egypt	PROP	UNK	high	01010006	684	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Khrih	khrih	Khrih'	Khrih	KHRIH.POSS	khrih	Khrih	UNK	PROP	high	40001001	643	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
pai-in	pai-in	pai-in	Pai-in	go-ERG	pai	Pai-In	V	PROP	high	01009023	638	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
Jerusalem	jerusalem	Jerusalem	Jerusalem'	JERUSALEM	Jerusalem	jerusalem	PROP	UNK	high	01014018	627	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kibang	kibang	ki-bang		REFL-same	bang		UNK		high	01003022	626	pos_unknown	needs_review
tapate	tapate	tapa-te	tapate'	son-PL	tapa	tapate	N	UNK	high	01006018	609	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
tuate	tuate	tua-te	Tuate|tua-te'	DIST-PL	tua	Tuate	FUNC	PROP	high	01001014	606	multi_segmentation:3|multi_lemma:2|multi_pos:FUNC|PROP	needs_review
Israel-te	israel-te	Israel-te	Israel-te'	ISRAEL-TE	Israel-Te	israel	PROP	UNK	high	01047027	575	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
thuman	thuman	thu-man	Thuman	word-reason	thu	Thuman	N	PROP	high	01006009	515	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
thute	thute	thu-te	thute'	word-PL	thu	thute	N	UNK	high	01015001	515	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
tun	tun	tun		arrive	tun		UNK		high	01007006	498	pos_unknown	needs_review
mihing	mihing	mi-hing	Mihing'|mihing'	person-kind	mi	mihing	N		high	01001026	474	multi_segmentation:3|multi_lemma:2	needs_review
pha	pha	pha	Pha	branch	pha		UNK		high	01001021	461	multi_segmentation:2|pos_unknown	needs_review
ciang	ciang	ciang		then	ciang		UNK		high	01003019	451	pos_unknown	needs_review
Saul	saul	Saul	Saul'	SAUL	Saul	saul	PROP	UNK	high	09009002	440	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Thukham	thukham	thu-kham	Thukham'|thukham'	law	thu	thukham	N		high	02013009	438	multi_segmentation:3|multi_lemma:2	needs_review
galte	galte	gal-te	Galte|Galte'|galte'	enemy-PL	gal	Galte|galte	N	PROP|UNK	high	01014011	430	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
tau	tau	tau		signal	tau		UNK		high	01008020	427	pos_unknown	needs_review
nasemte	nasemte	nasem-te	nasemte'	servant-PL	nasem	nasemte	N	UNK	high	01014015	413	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
nai	nai	nai		near	nai		UNK		high	01002005	405	pos_unknown	needs_review
gimna	gimna	gim-na	Gimna	suffer-NMLZ	gim	Gimna	N	PROP	high	01003016	405	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
pate	pate	pa-te	Pate'|pate'	male-PL	pa	pate	N	UNK	high	01015015	398	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
minamte	minamte	mi-nam-te	Minamte|Minamte'|minamte'	person-kind-PL	mi	Minamte|minamte	N	PROP|UNK	high	01010032	386	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
nate	nate	na-te	nate'	2SG-PL	te	nate	FUNC	N	high	01014021	379	multi_segmentation:2|multi_lemma:2|multi_pos:FUNC|N	needs_review
dangte	dangte	dang-te	dangte'	other-PL	dang	dangte	N	UNK	high	01003001	373	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
gim	gim	gim		faint	gim		UNK		high	01004013	365	pos_unknown	needs_review
ciat	ciat	ciat	ciat'	each	ciat		UNK		high	01006019	365	multi_segmentation:2|pos_unknown	needs_review
Levi	levi	Levi	Levi'	LEVI	Levi	levi	PROP	UNK	high	01029034	363	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kici	kici	kici		called	kici		UNK		high	01002023	354	pos_unknown	needs_review
takin	takin	takin		really	takin		UNK		high	01021018	346	pos_unknown	needs_review
kip	kip	kip		firm	kip		UNK		high	01021018	343	pos_unknown	needs_review
Jakob	jakob	Jakob	Jakob'	JAKOB	Jakob	jakob	PROP	UNK	high	01025026	338	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
sanggamte	sanggamte	sanggamte'	sanggam-te	brother-PL.POSS	sanggamte	sanggam	UNK	N	high	01009025	337	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK|pos_unknown	needs_review
“	“						UNK		high	01004001	335	pos_unknown	needs_review
suante	suante	suan-te	suante'	offspring-PL	suan	suante	V	UNK	high	01036015	333	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	needs_review
nasempa	nasempa	nasempa'	nasem-pa	servant.POSS	nasempa	nasem	N		high	01018003	332	multi_segmentation:2|multi_lemma:2	needs_review
Aaron	aaron	Aaron	Aaron'	AARON	Aaron	aaron	PROP	UNK	high	02004014	326	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Siampite	siampite	Siampite'	Siampite|siam-pi-te|siampite'	priest-PL.POSS	siampite	Siampite|siam	UNK	PROP|V	high	01047022	325	multi_segmentation:4|multi_lemma:3|multi_pos:PROP|UNK|V|pos_unknown	needs_review
taktak	taktak	tak~tak		great~REDUP	tak~tak		UNK		high	01004024	314	pos_unknown	needs_review
Babylon	babylon	Babylon	Babylon'	BABYLON	Babylon	babylon	PROP	UNK	high	12017024	310	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Solomon	solomon	Solomon	Solomon'	SOLOMON	Solomon	solomon	PROP	UNK	high	10005014	302	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
lei	lei	lei		buy	lei		UNK		high	01001009	300	pos_unknown	needs_review
khuapite	khuapite	khua-pi-te	khuapite'	town-big-PL	khua	khuapite	N	UNK	high	01010012	296	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
sathau	sathau	sa-thau	Sathau	flesh-fat	sa	Sathau	N	PROP	high	01028018	287	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
tanu	tanu	ta-nu	tanu'	child-female	ta	tanu	N		high	01005004	286	multi_segmentation:2|multi_lemma:2	needs_review
pi	pi	pi	Pi|pi'	grandmother	pi		UNK		high	01006015	281	multi_segmentation:3|pos_unknown	needs_review
kikhopna	kikhopna	ki-khop-na	Kikhopna	REFL-gather-NMLZ	khop	Kikhopna	N	PROP	high	02012016	279	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
Abraham	abraham	Abraham	Abraham'	ABRAHAM	Abraham	abraham	PROP	UNK	high	01017005	276	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
pawi	pawi	pawi	Pawi	Pawi	pawi	Pawi	N	PROP	high	01001014	274	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
nungzuite	nungzuite	nungzui-te	nungzui-te'	disciple-PL	nungzui		UNK		high	01024054	273	multi_segmentation:2|pos_unknown	needs_review
No	no	No	no|no'	NO	No	no	PROP	N	high	01019008	272	multi_segmentation:3|multi_lemma:2|multi_pos:N|PROP	needs_review
Hihte	hihte	hih-te	Hihte	this-PL	hi	Hihte	V	PROP	high	01002004	271	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
Josef	josef	Josef	Josef'	JOSEF	Josef	josef	PROP	UNK	high	01030024	270	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
susia	susia	su-sia	Susia	CAUS-bad	su	Susia	N	PROP	high	01006013	269	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
Faro	faro	Faro'	Faro	FARO.POSS	faro	Faro	UNK	PROP	high	01012015	269	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
tak	tak	tak		truly	tak		UNK		high	01009007	259	pos_unknown	needs_review
kumpite	kumpite	kumpi-te	Kumpite|Kumpite'|kumpite'	king-PL	kumpi	Kumpite|kumpite	N	PROP|UNK	high	01014002	257	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
Paul	paul	Paul	Paul'	PAUL	Paul	paul	PROP	UNK	high	44013013	255	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
nihte	nihte	nih-te	nihte'	two-PL	nih	nihte	FUNC	UNK	high	01009022	251	multi_segmentation:2|multi_lemma:2|multi_pos:FUNC|UNK	needs_review
leitungah	leitungah	leitung-ah	Leitungah	earth-LOC	leitung	Leitungah	N	PROP	high	01001011	249	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
pau	pau	pau	Pau	speak	pau	Pau	V	PROP	high	01010005	248	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
vantungmi	vantungmi	van-tung-mi	vantungmi'	angel	van	vantungmi	N		high	01016007	248	multi_segmentation:2|multi_lemma:2	needs_review
mihonte	mihonte	mihon-te	Mihonte'|mihonte'	poor.person-PL	mihon	mihonte	N	UNK	high	02007004	248	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
milim	milim	mi-lim	milim'	idol	mi	milim	N		high	02020004	248	multi_segmentation:2|multi_lemma:2	needs_review
ko	ko	ko	Ko|ko'	long	ko	Ko	UNK	PROP	high	01019005	242	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
galkapte	galkapte	gal-kap-te	Galkapte'|galkapte'	war-throw-PL	gal	galkapte	N	UNK	high	01014003	241	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
migilote	migilote	migilo-te	Migilote|Migilote'|migilote'	enemy-PL	migilo	Migilote|migilote	N	PROP|UNK	high	01018023	241	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
lel	lel	lel		desperate	lel		UNK		high	01018027	236	pos_unknown	needs_review
mihingte	mihingte	mi-hing-te	Mihingte|Mihingte'|mihingte'	person-kind-PL	mi	Mihingte|mihingte	N	PROP|UNK	high	01006003	231	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
siampipa	siampipa	siam-pi-pa	Siampipa'|siampipa'	priest	siam	siampipa	V	N	high	01041045	231	multi_segmentation:3|multi_lemma:2|multi_pos:N|V	needs_review
lote	lote	lo-te	lote'	NEG-PL	lo	lote	FUNC	N	high	01027028	230	multi_segmentation:2|multi_lemma:2|multi_pos:FUNC|N	needs_review
suanlekhakte	suanlekhakte	suanlekhak-te	suanlekhakte'	genealogy-PL	suanlekhak	suanlekhakte	N	UNK	high	01003015	223	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
Joshua	joshua	Joshua	Joshua'	JOSHUA	Joshua	joshua	PROP	UNK	high	02017009	223	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
midangte	midangte	midang-te	Midangte'|midangte'	other.person-PL	midang	midangte	N	UNK	high	01009006	222	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
kamsangte	kamsangte	kamsang-te	Kamsangte|Kamsangte'|kamsangte'	prophet-PL	kamsang	Kamsangte|kamsangte	N	PROP|UNK	high	04011025	215	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
Peter	peter	Peter	Peter'	PETER	Peter	peter	PROP	UNK	high	40004018	215	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Jerusalem-ah	jerusalem-ah	jerusalem-ah		JERUSALEM-LOC	jerusalem		UNK		high	06015063	210	pos_unknown	needs_review
innkuan	innkuan	inn-kuan	innkuan'	house-family	inn	innkuan	N		high	01008019	208	multi_segmentation:2|multi_lemma:2	needs_review
numeite	numeite	numei-te	Numeite|Numeite'|numeite'	woman-PL	numei	Numeite|numeite	N	PROP|UNK	high	01014016	207	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
Singkuang	singkuang	sing-kuang	Singkuang|sing-kuang'	wood-box	sing	Singkuang	N	PROP	high	02016034	205	multi_segmentation:3|multi_lemma:2|multi_pos:N|PROP	needs_review
thugente	thugente	thu-gen-te	thugente'	word-tell-PL	thu	thugente	N	UNK	high	01034018	197	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
Moab	moab	Moab	Moab'	MOAB	Moab	moab	PROP	UNK	high	01019037	193	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
tum	tum	tum		all	tum		UNK		high	01007013	189	pos_unknown	needs_review
tuan	tuan	tuan		ride	tuan		UNK		high	02016018	181	pos_unknown	needs_review
suah	suah	suah	Suah	birth	suah	Suah	N	PROP	high	01005004	174	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
het	het	het		trouble	het		UNK		high	01020011	174	pos_unknown	needs_review
gamte	gamte	gam-te	gamte'	land-PL	gam	gamte	N	UNK	high	03025034	174	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
behte	behte	beh-te	behte'	tribe-PL	beh	behte	N	UNK	high	01016012	170	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
Johan	johan	Johan	Johan'	JOHAN	Johan	johan	PROP	UNK	high	40003001	169	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
ganhingte	ganhingte	ganhing-te	ganhingte'	animal-PL	ganhing	ganhingte	N	UNK	high	01001024	165	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
kisai-in	kisai-in	ki-sai-in		REFL-concern-CVB	sai		UNK		high	01012020	165	pos_unknown	needs_review
upate	upate	upa-te	Upate|upate'	elder-PL	upa	Upate|upate	N	PROP|UNK	high	01050007	165	multi_segmentation:3|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
gei-ah	gei-ah	gei-ah		edge-LOC	gei		UNK		high	01013018	164	pos_unknown	needs_review
do	do	do		rise	do		UNK		high	01014015	164	pos_unknown	needs_review
kongpi	kongpi	kong-pi	Kongpi	road-big	pi	Kongpi	FUNC	PROP	high	01028017	163	multi_segmentation:2|multi_lemma:2|multi_pos:FUNC|PROP	needs_review
sun	sun	sun	Sun|sun'	basket	sun	Sun	UNK	PROP	high	01001016	162	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
ukte	ukte	uk-te	ukte'	rule-PL	uk	ukte	V	UNK	high	02001011	161	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	needs_review
gah	gah	gah		branch	gah		UNK		high	01001011	159	pos_unknown	needs_review
semsem	semsem	sem~sem		serve~REDUP	sem~sem		UNK		high	01007017	159	pos_unknown	needs_review
pah	pah	pah		do.so	pah		UNK		high	01001003	158	pos_unknown	needs_review
tam	tam	tam		many	tam		UNK		high	01006001	157	pos_unknown	needs_review
Kanaan	kanaan	Kanaan'	Kanaan	KANAAN.POSS	kanaan	Kanaan	UNK	PROP	high	01009018	154	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
paito	paito	pai-to	Paito	go-UP	pai	Paito	V	PROP	high	01013001	154	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
Benjamin	benjamin	Benjamin	Benjamin'	BENJAMIN	Benjamin	benjamin	PROP	UNK	high	01035018	153	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
gamlakah	gamlakah	gam-lak-ah	Gamlakah	land-midst-LOC	gam	Gamlakah	N	PROP	high	01004008	152	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
natna	natna	nat-na	Natna	ill-NMLZ	nat	Natna	N	PROP	high	02005003	152	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
kulh	kulh	kulh		steal	kulh		UNK		high	01049022	150	pos_unknown	needs_review
san	san	san		flee	san		UNK		high	01025030	149	pos_unknown	needs_review
Joab	joab	Joab'	Joab	JOAB.POSS	joab	Joab	UNK	PROP	high	09026006	148	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
Nitak	nitak	ni-tak	Nitak	day-exact	ni	Nitak	N	PROP	high	01001005	146	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
Ammon	ammon	Ammon	Ammon'	AMMON	Ammon	ammon	PROP	UNK	high	01019038	146	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
tuni-in	tuni-in	tu-ni-in	Tuni-in	now-day-ERG	tu	Tuni-In	N	PROP	high	01004014	145	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
Manasseh	manasseh	Manasseh	Manasseh'	MANASSEH	Manasseh	manasseh	PROP	UNK	high	01041051	145	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
ma-in	ma-in	ma-in		self-ERG	ma		UNK		high	01002002	144	pos_unknown	needs_review
Samuel	samuel	Samuel	Samuel'	SAMUEL	Samuel	samuel	PROP	UNK	high	09001020	141	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
liante	liante	lian-te	liante'	big-PL	lian	liante	N	UNK	high	01007020	140	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
Efraim	efraim	Efraim	Efraim'	EFRAIM	Efraim	efraim	PROP	UNK	high	01041052	137	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
sabbath	sabbath	sabbath	Sabbath	SABBATH	sabbath	Sabbath	UNK	PROP	high	02016023	137	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
vekpi-in	vekpi-in	vek-pi-in		all-big-ERG	vek		UNK		high	01046015	136	pos_unknown	needs_review
adang	adang	a-dang	Adang	3SG-other	dang	Adang	N	PROP	high	01004019	135	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
naupang	naupang	nau-pang	Naupang'|naupang'	child-small	nau	naupang	N		high	01004025	135	multi_segmentation:3|multi_lemma:2	needs_review
Isaac	isaac	Isaac	Isaac'	ISAAC	Isaac	isaac	PROP	UNK	high	01017019	135	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
tuu	tuu	tuu		climb	tuu		UNK		high	01004002	132	pos_unknown	needs_review
pawlkhatte	pawlkhatte	pawl-khat-te	Pawlkhatte|pawl-khat-te'	some-one-PL	pawl	Pawlkhatte	N	PROP	high	09008012	130	multi_segmentation:3|multi_lemma:2|multi_pos:N|PROP	needs_review
shekel	shekel	shekel		SHEKEL	shekel		UNK		high	01023015	129	pos_unknown	needs_review
tanute	tanute	tanu-te	tanute'	daughter-PL	tanu	tanute	N	UNK	high	01006001	128	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
milimte	milimte	mi-lim-te	Milimte'|milimte'	idol-PL	mi	milimte	N	UNK	high	02034013	128	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
Hezekiah	hezekiah	Hezekiah	Hezekiah'	HEZEKIAH	Hezekiah	hezekiah	PROP	UNK	high	12016020	127	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kuan	kuan	kuan		family	kuan		UNK		high	01014024	126	pos_unknown	needs_review
lawmte	lawmte	lawm-te	Lawmte|Lawmte'|lawmte'	friend-PL	lawm	Lawmte|lawmte	N	PROP|UNK	high	05020008	125	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
humpinelkai	humpinelkai	hum-pinelkai	Humpinelkai'	cover-ornament	hum	humpinelkai	V	N	high	01049009	123	multi_segmentation:2|multi_lemma:2|multi_pos:N|V	needs_review
Thutang	thutang	thu-tang	Thutang	word-story	thu	Thutang	N	PROP	high	02023002	123	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
kung	kung	kung	Kung	trunk	kung		UNK		high	01001011	121	multi_segmentation:2|pos_unknown	needs_review
kihei	kihei	ki-hei		REFL-path	hei		UNK		high	01014007	121	pos_unknown	needs_review
kihta	kihta	kih-ta	Kihta	abhor-PFV	kih	Kihta	N	PROP	high	02001012	121	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
hotkhiatna	hotkhiatna	hot-khiat-na	Hotkhiatna	save-away-NMLZ	hot	Hotkhiatna	V	PROP	high	02014013	121	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
Jonathan	jonathan	Jonathan	Jonathan'	JONATHAN	Jonathan	jonathan	PROP	UNK	high	07018030	120	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Syria	syria	Syria	Syria'	SYRIA	Syria	syria	PROP	UNK	high	07010006	119	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
lah	lah	lah		lamp	lah		UNK		high	01012001	118	pos_unknown	needs_review
tawm	tawm	tawm		produce	tawm		UNK		high	01013009	118	pos_unknown	needs_review
hu	hu	hu		breath	hu		UNK		high	01001030	117	pos_unknown	needs_review
hangun	hangun	hangun		HANGUN	hangun		UNK		high	01019011	117	pos_unknown	needs_review
vantungah	vantungah	vantung-ah	Vantungah	heaven-LOC	vantung	Vantungah	N	PROP	high	01001014	116	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
lungkhamna	lungkhamna	lung-kham-na	Lungkhamna	heart-anxiety-NMLZ	lung	Lungkhamna	V	PROP	high	01042021	116	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
kawikawi	kawikawi	kawi~kawi		crooked~REDUP	kawi~kawi		UNK		high	01008007	111	pos_unknown	needs_review
lui	lui	lui		river	lui		UNK		high	01018008	111	pos_unknown	needs_review
lua	lua	lua		exceed	lua		UNK		high	01018014	111	pos_unknown	needs_review
kisai	kisai	ki-sai		REFL-concern	sai		UNK		high	01021025	111	pos_unknown	needs_review
Gilead	gilead	Gilead	Gilead'	GILEAD	Gilead	gilead	PROP	UNK	high	01031021	111	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
-	-	-		-			UNK		high	01008017	110	pos_unknown	needs_review
